"rep.sent","dem.sent","trump.sent","rep.ntweets","dem.ntweets","trump.ntweets","dollar","dow.jones","covid.cases","Fecha"
0.249637384312712,0.356002333124472,0.16232810882477,36,36,12,0.903668895716609,28399.81,1,2020-02-01
0.250458734416969,0.328443272185983,0.0885050938502011,43,31,49,0.905141202027516,28807.63,0,2020-02-02
0.254527773029591,0.3148164711548,0.242014012649641,117,86,31,0.903668895716609,28399.81,3,2020-02-03
0.375250356773004,0.247709783997282,0.0403951362283714,96,73,54,0.905141202027516,28807.63,0,2020-02-04
0.30114630056404,0.256145284427791,-0.00508705001250243,178,167,34,0.90719404880704,29290.85,0,2020-02-05
0.257168003700491,0.289726886895045,-0.00469161518693543,84,128,9,0.908843042806507,29379.77,1,2020-02-06
0.254184817964545,0.254815482452801,0.0150465082999864,75,107,66,0.911660133102379,29102.51,0,2020-02-07
0.273651789420906,0.268409446000742,0.0336832399197154,46,31,65,0.910995718320124,29328.295,0,2020-02-08
0.206500631130637,0.223449442260632,-0.0159025690675368,49,19,62,0.914494741655235,29189.425,0,2020-02-09
0.316874533112108,0.335917265399551,0.0538475790386924,67,68,13,0.913158615651539,29276.82,0,2020-02-10
0.317316255957146,0.257673841924169,0.00548321614920311,71,104,32,0.91734703238235,29276.34,1,2020-02-11
0.331944725510532,0.302321114773173,0.048477310108752,89,105,33,0.916254352208173,29551.42,0,2020-02-12
0.315772199745469,0.245264152268971,-0.0419085063374949,133,98,9,0.920217171252416,29423.31,2,2020-02-13
0.356004295953682,0.280524689481794,0.280323717126253,88,109,21,0.922339051835455,29398.08,0,2020-02-14
0.209493209601156,0.246003969211485,0.116906511790006,23,34,45,0.921574048474795,29423.31,0,2020-02-15
0.237674555487703,0.322435428799939,0.278480543659892,23,16,2,0.923446301597562,29315.135,0,2020-02-16
0.299752958859525,0.408953315286815,0.123044536218859,60,45,13,0.922934933087217,29348.03,0,2020-02-17
0.266701425737917,0.22399533005122,0.00535747441054872,97,84,31,0.924556213017752,29232.19,0,2020-02-18
0.315018645376855,0.259319055175853,-0.100874196519094,92,129,32,0.925925925925926,29348.03,0,2020-02-19
0.229889469932155,0.246258865091357,0.0900895250590457,88,103,38,0.92678405931418,29219.98,0,2020-02-20
0.278243250833169,0.267242075951578,0.229540458451671,72,94,33,0.925840199981483,28992.41,19,2020-02-21
0.297913547012922,0.317205513502618,0.0813722953616707,29,30,27,0.925583117363939,28590.39,1,2020-02-22
0.273595609362152,0.163817674090843,0.162406915047707,15,16,13,0.924171711103923,28036.885,0,2020-02-23
0.339033547609419,0.325746081273507,0.150312941029601,76,59,35,0.924385283786282,27960.8,18,2020-02-24
0.370467556800672,0.292676895146619,0.0200594687930455,74,111,23,0.922509225092251,27081.36,0,2020-02-25
0.356154470781566,0.24113758544884,0.0363500040298645,77,122,47,0.919540229885058,26957.59,6,2020-02-26
0.341773308406874,0.317143471645201,0.0998934147979659,113,108,7,0.912075884713608,25766.64,0,2020-02-27
0.283025613284427,0.269203511282822,0.0612332519880575,91,113,22,0.910995718320124,25409.36,3,2020-02-28
0.347827834047473,0.305004888729562,0.187126715487928,25,46,14,0.905551027800417,26234.98,0,2020-02-29
0.308906700358488,0.290564310949345,-0.00275802554757883,24,21,13,0.905223137503395,25663.385,0,2020-03-01
0.266942841359764,0.20195191185207,0.215719001777011,114,159,58,0.899118863513756,26703.32,2,2020-03-02
0.175347691123748,0.259108328866727,0.155957986982744,136,134,22,0.899523252676082,25917.41,44,2020-03-03
0.271215391485787,0.316071110510636,0.116575189617998,141,120,41,0.898876404494382,27090.86,21,2020-03-04
0.345744508960875,0.262232159340984,0.077319947124593,115,99,25,0.893894699204434,26121.28,19,2020-03-05
0.269819175836043,0.24975806808017,0.193392752693956,85,124,35,0.882145377558222,25864.78,65,2020-03-06
0.240261368722193,0.155908582082794,0.471521834311736,61,84,6,0.883275184383695,24986.15,0,2020-03-07
0.283246619968397,0.282932367568564,0.0636591897818661,59,59,17,0.880049282759835,25441.47,0,2020-03-08
0.229063376812957,0.184296534495332,0.00393730862562647,127,237,35,0.872905027932961,23851.02,259,2020-03-09
0.229544346125059,0.184933006943079,0.134274002604332,115,159,26,0.877963125548727,25018.16,224,2020-03-10
0.254779595092915,0.151449351834241,0.217355254077164,146,201,29,0.882145377558222,23553.22,0,2020-03-11
0.194597171189496,0.149039817648051,0.216864088177687,201,285,40,0.889679715302491,21200.62,291,2020-03-12
0.179689182930492,0.191145973229736,0.0472284351886525,196,271,25,0.900576368876081,23185.62,277,2020-03-13
0.195269887098488,0.123972164846703,0.0623391093862278,148,156,33,0.892976737955976,20694.57,414,2020-03-14
0.139533007016873,0.18323284636028,0.223993405396956,181,163,23,0.905551027800417,22211.5,36,2020-03-15
0.211850352982367,0.128632050259792,0.0719182900274076,287,328,16,0.89629828807027,20188.52,0,2020-03-16
0.160734101758421,0.174942651541135,0.0746393460946598,293,317,49,0.910580950646512,21237.38,1822,2020-03-17
0.139047396472839,0.155145785014277,0.170550901626696,340,385,33,0.914578379367112,19898.92,3551,2020-03-18
0.161977702942572,0.165743458496257,0.0454308465340142,328,331,13,0.925840199981483,20087.19,3355,2020-03-19
0.205699047340237,0.177926886637302,0.175784123198395,352,283,56,0.933968431867003,19173.98,4777,2020-03-20
0.13726676908429,0.177541659603984,0.166249176366894,173,216,9,0.926612305411416,19339.56,0,2020-03-21
0.134067469692755,0.133011487767788,0.124313219883562,174,240,85,0.928074245939675,19939.445,0,2020-03-22
